time,x,r,u_r,a_s
7.76,1.78977,0,2,1
7.77,1.79187,0,2,1
7.78,1.79395,0,2,1
7.79,1.79601,0,2,1
7.8,1.80805,0,3,1
7.81,1.81997,0,3,1
7.82,1.83177,0,3,1
7.83,1.84345,0,3,1
7.84,1.85502,0,3,1
7.85,1.86647,0,3,1
7.86,1.8778,0,3,1
7.87,1.88903,0,3,1
7.88,1.90014,0,3,1
7.89,1.91113,0,3,1
7.9,1.92202,0,3,1
7.91,1.9428,0,4,1
7.92,1.96337,0,4,1
7.93,1.98374,0,4,1
7.94,2.0039,0,4,1
7.95,2.02386,0,4,-1
7.96,2.04363,0,4,-1
7.97,2.06319,0,4,-1
7.98,2.08256,0,4,-1
7.99,2.10173,0,4,-1
8,2.12071,0,4,-1
8.01,2.13951,0,4,-1
8.02,2.14811,0,3,-1
8.03,2.15663,0,3,-1
8.04,2.16506,0,3,-1
8.05,2.17341,0,3,-1
8.06,2.18168,0,3,-1
8.07,2.18986,0,3,-1
8.08,2.19796,0,3,-1
8.09,2.20599,0,3,-1
8.1,2.21393,0,3,-1
8.11,2.22179,0,3,-1
8.12,2.22957,0,3,-1
8.13,2.22727,0,2,-1
8.14,2.225,0,2,-1
8.15,2.22275,0,2,-1
8.16,2.22052,0,2,-1
8.17,2.21832,0,2,-1
8.18,2.21613,0,2,-1
8.19,2.21397,0,2,-1
8.2,2.21183,0,2,-1
8.21,2.20971,0,2,-1
8.22,2.20762,0,2,-1
8.23,2.20554,0,2,-1
8.24,2.19349,0,1,-1
8.25,2.18155,0,1,-1
8.26,2.16974,0,1,-1
8.27,2.15804,0,1,-1
8.28,2.14646,0,1,-1
8.29,2.13499,0,1,-1
8.3,2.12364,0,1,-1
8.31,2.11241,0,1,-1
8.32,2.10128,0,1,-1
8.33,2.09027,0,1,-1
8.34,2.07937,0,1,-1
8.35,2.05857,0,0,-1
8.36,2.03799,0,0,-1
8.37,2.01761,0,0,-1
8.38,1.99743,0,0,-1
8.39,1.97746,0,0,1
8.4,1.95768,0,0,1
8.41,1.93811,0,0,1
8.42,1.91872,0,0,1
8.43,1.89954,0,0,1
8.44,1.88054,0,0,1
8.45,1.86174,0,0,1
8.46,1.85312,0,1,1
8.47,1.84459,0,1,1
8.48,1.83614,0,1,1
8.49,1.82778,0,1,1
8.5,1.8195,0,1,1
8.51,1.81131,0,1,1
8.52,1.8032,0,1,1
8.53,1.79516,0,1,1
8.54,1.78721,0,1,1
8.55,1.77934,0,1,1
8.56,1.77155,0,1,1
8.57,1.77383,0,2,1
8.58,1.77609,0,2,1
8.59,1.77833,0,2,1
8.6,1.78055,0,2,1
8.61,1.78274,0,2,1
8.62,1.78492,0,2,1
8.63,1.78707,0,2,1
8.64,1.7892,0,2,1
8.65,1.7913,0,2,1
8.66,1.79339,0,2,1
8.67,1.79546,0,2,1
8.68,1.8075,0,3,1
8.69,1.81943,0,3,1
8.7,1.83123,0,3,1
8.71,1.84292,0,3,1
8.72,1.85449,0,3,1
8.73,1.86595,0,3,1
8.74,1.87729,0,3,1
8.75,1.88851,0,3,1
8.76,1.89963,0,3,1
8.77,1.91063,0,3,1
8.78,1.92153,0,3,1
8.79,1.94231,0,4,1
8.8,1.96289,0,4,1
8.81,1.98326,0,4,1
8.82,2.00343,0,4,1
8.83,2.02339,0,4,-1
8.84,2.04316,0,4,-1
8.85,2.06273,0,4,-1
8.86,2.0821,0,4,-1
8.87,2.10128,0,4,-1
8.88,2.12027,0,4,-1
8.89,2.13906,0,4,-1
8.9,2.14767,0,3,-1
8.91,2.1562,0,3,-1
8.92,2.16463,0,3,-1
8.93,2.17299,0,3,-1
8.94,2.18126,0,3,-1
8.95,2.18944,0,3,-1
8.96,2.19755,0,3,-1
8.97,2.20557,0,3,-1
8.98,2.21352,0,3,-1
8.99,2.22138,0,3,-1
