time,x,r,x_r,u_r,a_s
4.43,2.05073,0,2.05073,4,-1
4.44,2.07022,0,2.07022,4,-1
4.45,2.08952,0,2.08952,4,-1
4.46,2.10862,0,2.10862,4,-1
4.47,2.12754,0,2.12754,4,-1
4.48,2.14626,0,2.14626,4,-1
4.49,2.1648,0,2.1648,4,-1
4.5,2.17315,0,2.17315,3,-1
4.51,2.18142,0,2.18142,3,-1
4.52,2.1896,0,2.1896,3,-1
4.53,2.19771,0,2.19771,3,-1
4.54,2.20573,0,2.20573,3,-1
4.55,2.21367,0,2.21367,3,-1
4.56,2.22154,0,2.22154,3,-1
4.57,2.22932,0,2.22932,3,-1
4.58,2.23703,0,2.23703,3,-1
4.59,2.24466,0,2.24466,3,-1
4.6,2.25221,0,2.25221,3,-1
4.61,2.24969,0,2.24969,2,-1
4.62,2.24719,0,2.24719,2,-1
4.63,2.24472,0,2.24472,2,-1
4.64,2.24227,0,2.24227,2,-1
4.65,2.23985,0,2.23985,2,-1
4.66,2.23745,0,2.23745,2,-1
4.67,2.23508,0,2.23508,2,-1
4.68,2.23273,0,2.23273,2,-1
4.69,2.2304,0,2.2304,2,-1
4.7,2.2281,0,2.2281,2,-1
4.71,2.22581,0,2.22581,2,-1
4.72,2.21356,0,2.21356,1,-1
4.73,2.20142,0,2.20142,1,-1
4.74,2.18941,0,2.18941,1,-1
4.75,2.17751,0,2.17751,1,-1
4.76,2.16574,0,2.16574,1,-1
4.77,2.15408,0,2.15408,1,-1
4.78,2.14254,0,2.14254,1,-1
4.79,2.13111,0,2.13111,1,-1
4.8,2.1198,0,2.1198,1,-1
4.81,2.1086,0,2.1086,1,-1
4.82,2.09752,0,2.09752,1,-1
4.83,2.07654,0,2.07654,0,-1
4.84,2.05578,0,2.05578,0,-1
4.85,2.03522,0,2.03522,0,-1
4.86,2.01487,0,2.01487,0,-1
4.87,1.99472,0,1.99472,0,-1
4.88,1.97477,0,1.97477,0,1
4.89,1.95502,0,1.95502,0,1
4.9,1.93547,0,1.93547,0,1
4.91,1.91612,0,1.91612,0,1
4.92,1.89696,0,1.89696,0,1
4.93,1.87799,0,1.87799,0,1
4.94,1.86921,0,1.86921,1,1
4.95,1.86052,0,1.86052,1,1
4.96,1.85191,0,1.85191,1,1
4.97,1.84339,0,1.84339,1,1
4.98,1.83496,0,1.83496,1,1
4.99,1.82661,0,1.82661,1,1
5,1.81834,0,1.81834,1,1
5.01,1.81016,0,1.81016,1,1
5.02,1.80206,0,1.80206,1,1
5.03,1.79404,0,1.79404,1,1
5.04,1.7861,0,1.7861,1,1
5.05,1.78824,0,1.78824,2,1
5.06,1.79035,0,1.79035,2,1
5.07,1.79245,0,1.79245,2,1
5.08,1.79453,0,1.79453,2,1
5.09,1.79658,0,1.79658,2,1
5.1,1.79861,0,1.79861,2,1
5.11,1.80063,0,1.80063,2,1
5.12,1.80262,0,1.80262,2,1
5.13,1.8046,0,1.8046,2,1
5.14,1.80655,0,1.80655,2,1
5.15,1.80848,0,1.80848,2,1
5.16,1.8204,0,1.8204,3,1
5.17,1.8322,0,1.8322,3,1
5.18,1.84387,0,1.84387,3,1
5.19,1.85543,0,1.85543,3,1
5.2,1.86688,0,1.86688,3,1
5.21,1.87821,0,1.87821,3,1
5.22,1.88943,0,1.88943,3,1
5.23,1.90054,0,1.90054,3,1
5.24,1.91153,0,1.91153,3,1
5.25,1.92241,0,1.92241,3,1
5.26,1.93319,0,1.93319,3,1
5.27,1.95386,0,1.95386,4,1
5.28,1.97432,0,1.97432,4,1
5.29,1.99458,0,1.99458,4,1
5.3,2.01463,0,2.01463,4,1
5.31,2.03448,0,2.03448,4,-1
5.32,2.05414,0,2.05414,4,-1
5.33,2.0736,0,2.0736,4,-1
5.34,2.09286,0,2.09286,4,-1
5.35,2.11193,0,2.11193,4,-1
5.36,2.13081,0,2.13081,4,-1
5.37,2.14951,0,2.14951,4,-1
